Author,precision,recall,support,f1-score,AUC,%
Sergey Karayev,0.423728813559322,0.8620689655172413,29,0.5681818181818181,0.9203102556736571,1.2127440904419322
Yangqing Jia,0.40059790732436473,0.9305555555555556,288,0.5600835945663533,0.9289343798945842,13.751284686536485
Sergio Guadarrama,0.28846153846153844,0.8571428571428571,35,0.43165467625899273,0.9069619082840237,2.1377183967112026
Kai Li,0.36162361623616235,0.9333333333333333,105,0.5212765957446808,0.9324164975967103,5.5704008221993835
Noiredd,0.78,1.0,39,0.8764044943820225,0.98548,1.027749229188078
qipeng,0.4657534246575342,0.9714285714285714,35,0.6296296296296297,0.9165884781384875,1.500513874614594
Jonathan L Long,0.5633802816901409,0.9722222222222222,288,0.713375796178344,0.9471505086859184,10.215827338129497
Cyprien Noel,0.43902439024390244,0.9863013698630136,73,0.6075949367088608,0.9725907198096371,3.3710174717368964
Jeff Donahue,0.6520022560631697,0.9010132501948558,1283,0.756544502617801,0.9255446254694355,36.44398766700925
Ronghang Hu,0.47651006711409394,0.9466666666666667,75,0.6339285714285714,0.9486239358587452,3.0626927029804727
Eric Tzeng,0.38461538461538464,1.0,20,0.5555555555555556,0.9309541420118344,1.0688591983556013
Kevin James Matzen,0.9217877094972067,0.9880239520958084,334,0.953757225433526,0.993852407852439,7.358684480986639
Evan Shelhamer,0.35394456289978676,0.8383838383838383,198,0.49775112443778113,0.8932033405921959,9.640287769784173
Sergio,0.4689265536723164,0.9325842696629213,89,0.6240601503759398,0.9381691084937278,3.6382322713257964
